date;Gross Saving;Net saving;Net private saving;Net private saving: Domestic business;Net private saving: Households and institutions;Net Government Saving;Consumption of Fixed Capital;Consumption of fixed capital: Private;Consumption of fixed capital: Private: Domestic business;Consumption of fixed capital: Private: Households and institutions;Consumption of fixed capital: Government;Gross domestic investment, capital account transactions, and net lending, NIPAs;Gross domestic investment;Gross Private Domestic Investment;Gross private domestic investment: Domestic business;Gross private domestic investment: Households and institutions;Gross government investment;Current taxes and transfer payments to the rest of the world: Net lending or net borrowing (-): Capital account transactions (net) NIPAs;Capital account transactions (net): Private;Capital account transactions (net): Private: Domestic business;Capital account transactions (net): Private: Households and institutions;Capital account transactions (net): Government;Current taxes and transfer payments to the rest of the world: Net lending or net borrowing (-), NIPAs;Net lending or net borrowing (-), NIPAs: Private;Net lending or net borrowing (-), NIPAs: Private: Domestic business;Net lending or net borrowing (-), NIPAs: Private: Households and institutions;Net lending or net borrowing (-), NIPAs: Government
2006-04-01;2651,954;544,86;842,233;548,466;293,767;-297,373;2107,094;1737,794;1350,678;387,116;369,3;2432,295;3261,065;2709,252;1842,209;867,042;551,813;7,656;5,956;0,516;5,44;1,701;-836,426;-354,84;-163,241;-191,599;-481,587
2006-07-01;2638,534;497,426;805,046;563,149;241,897;-307,62;2141,108;1765,919;1373,7;392,219;375,189;2383,684;3259,497;2709,42;1880,093;829,327;550,078;5,993;6,813;1,364;5,449;-0,82;-881,807;-400,117;-199,456;-200,661;-481,688
2006-10-01;2634,443;456,412;770,856;512,59;258,266;-314,444;2178,031;1795,551;1398,627;396,924;382,479;2466,515;3237,403;2675,406;1874,539;800,867;561,997;6,879;55,347;50,618;4,729;-48,468;-777,767;-332,273;-181,867;-150,405;-445,494
2007-01-01;2559,366;344,691;666,718;387,225;279,493;-322,026;2214,675;1823,717;1421,575;402,142;390,958;2433,032;3238,578;2664,295;1892,517;771,777;574,284;12,557;-7,899;-0,439;-7,461;20,456;-818,104;-292,292;-209,61;-82,682;-525,809
2007-04-01;2619,472;378,544;714,323;418,044;296,279;-335,779;2240,928;1843,831;1439,13;404,7;397,097;2510,182;3288,861;2699,217;1955,645;743,572;589,644;1,58;-5,533;0,395;-5,928;7,112;-780,259;-244,819;-208,155;-36,665;-535,438
2007-07-01;2473,998;208,397;627,891;378,059;249,832;-419,494;2265,601;1862,279;1454,853;407,427;403,322;2572,987;3281,943;2685,969;1980,705;705,265;595,974;4,009;-8,921;-2,056;-6,864;12,93;-712,966;-87,889;-46,748;-41,142;-625,076
2007-10-01;2394,677;104,882;587,685;359,595;228,09;-482,803;2289,796;1879,944;1470,849;409,095;409,852;2580,497;3250,754;2642,56;1983,092;659,468;608,194;7,255;6,978;2,624;4,354;0,277;-677,512;3,909;30,546;-26,637;-681,423
2008-01-01;2307,341;-12,454;561,514;260,778;300,736;-573,968;2319,795;1902,823;1493,511;409,312;416,972;2439,795;3175,346;2563,701;1947,416;616,285;611,645;11,804;11,026;7,998;3,028;0,778;-747,356;22,063;-68,673;90,736;-769,42
2008-04-01;2189,103;-158,097;786,102;273,71;512,392;-944,199;2347,2;1923,79;1514,875;408,914;423,41;2436,905;3168,182;2540,595;1945,622;594,973;627,587;3,956;25,597;19,218;6,38;-21,641;-735,232;391,503;71,549;319,954;-1126,735
2008-07-01;2228,963;-147,078;721,09;334,77;386,32;-868,168;2376,04;1945,696;1539,196;406,5;430,344;2416,958;3135,983;2498,242;1928,245;569,997;637,741;-20,232;-25,648;8,504;-34,152;5,416;-698,793;382,186;125,211;256,975;-1080,98
2008-10-01;2121,696;-271,118;730,537;124,091;606,447;-1001,655;2392,814;1955,462;1552,325;403,137;437,352;2318,244;2949,323;2307,915;1785,167;522,748;641,407;7,561;-222,354;-233,923;11,57;229,914;-638,64;796,985;321,719;475,265;-1435,624
2009-01-01;1983,388;-404,053;1028,311;411,904;616,407;-1432,364;2387,44;1946,806;1546,634;400,172;440,635;2251,737;2654,925;2014,878;1534,146;480,732;640,048;4,169;-195,765;-201,144;5,379;199,934;-407,357;1424,355;893,887;530,468;-1831,711
2009-04-01;1962,788;-406,266;1230,542;487,381;743,161;-1636,808;2369,055;1927,499;1530,388;397,111;441,556;2155,672;2510,18;1863,65;1408,848;454,802;646,53;9,622;-138,467;-142,131;3,665;148,088;-364,13;1625,741;943,935;681,806;-1989,871
2009-07-01;1934,484;-424,497;1239,667;687,138;552,529;-1664,164;2358,981;1916,355;1521,371;394,984;442,626;2119,726;2486,36;1841,416;1374,25;467,166;644,944;5,876;-58,642;41,88;-100,523;64,518;-372,511;1558,489;977,62;580,869;-1931,0
2009-10-01;2110,32;-259,31;1349,233;761,579;587,654;-1608,543;2369,629;1923,377;1525,668;397,709;446,252;2230,727;2638,824;1998,71;1531,194;467,516;640,114;5,535;-93,053;-30,63;-62,423;98,588;-413,632;1487,36;907,09;580,27;-1900,992
2010-01-01;2137,681;-236,87;1442,465;840,619;601,846;-1679,335;2374,551;1924,246;1526,747;397,499;450,305;2249,784;2671,339;2038,161;1581,413;456,748;633,178;13,167;-75,834;-9,942;-65,892;89,001;-434,722;1516,487;907,998;608,489;-1951,209
2010-04-01;2238,209;-144,516;1515,723;812,984;702,739;-1660,239;2382,725;1927,477;1532,161;395,316;455,248;2352,685;2796,82;2148,795;1677,133;471,662;648,025;4,855;-106,934;-86,71;-20,224;111,789;-448,99;1515,815;869,198;646,617;-1964,805
2010-07-01;2407,782;16,009;1616,861;920,13;696,731;-1600,852;2391,773;1932,699;1536,944;395,754;459,075;2413,215;2885,91;2236,495;1792,266;444,229;649,416;5,226;-33,716;-27,317;-6,399;38,942;-477,921;1352,215;697,559;654,656;-1830,135
2010-10-01;2419,312;6,797;1575,627;891,245;684,383;-1568,83;2412,516;1948,534;1550,34;398,194;463,982;2465,077;2885,835;2238,44;1784,453;453,987;647,396;6,416;-22,667;6,316;-28,982;29,083;-427,174;1354,154;696,581;657,573;-1781,327
2011-01-01;2376,185;-61,048;1464,347;690,637;773,709;-1525,394;2437,233;1967,536;1567,775;399,761;469,697;2368,688;2845,313;2205,962;1752,323;453,64;639,351;7,268;-28,662;-22,45;-6,212;35,93;-483,893;1247,084;521,041;726,043;-1730,979
2011-04-01;2471,229;7,642;1540,834;791,55;749,284;-1533,192;2463,587;1988,608;1587,258;401,35;474,979;2455,689;2933,631;2297,352;1834,855;462,497;636,279;16,826;-52,42;-44,626;-7,794;69,246;-494,768;1268,967;573,035;695,931;-1763,739
2011-07-01;2574,157;86,581;1594,636;808,72;785,916;-1508,055;2487,576;2007,406;1604,536;402,87;480,17;2521,554;2957,952;2322,84;1849,869;472,971;635,112;6,56;-45,762;-35,722;-10,04;52,322;-442,958;1272,362;546,507;725,855;-1715,32
2011-10-01;2710,96;201,903;1679,991;883,767;796,225;-1478,088;2509,057;2025,284;1620,462;404,822;483,773;2689,448;3139,825;2504,095;2020,724;483,37;635,731;7,209;-67,574;-62,912;-4,663;74,783;-457,586;1247,242;524,903;722,339;-1704,829
2012-01-01;2933,356;395,086;1787,011;877,36;909,651;-1391,925;2538,27;2049,672;1643,586;406,086;488,598;2727,334;3194,591;2567,75;2059,961;507,79;626,841;8,601;-27,973;-25,524;-2,449;36,574;-475,857;1090,887;280,49;810,397;-1566,741
2012-04-01;2990,768;426,874;1803,431;829,362;974,069;-1376,557;2563,894;2071,312;1662,091;409,221;492,582;2818,217;3263,961;2636,863;2121,544;515,319;627,098;7,577;-9,416;-8,522;-0,895;16,993;-453,321;1074,747;205,881;868,865;-1528,066
2012-07-01;2875,351;285,203;1661,442;801,532;859,91;-1376,238;2590,148;2094,302;1680,313;413,989;495,846;2865,607;3263,547;2644,119;2118,301;525,818;619,428;6,49;-7,931;-9,595;1,664;14,42;-404,43;1109,807;363,389;746,417;-1514,241
2012-10-01;3090,234;480,324;1765,528;603,056;1162,472;-1285,204;2609,909;2112,463;1693,72;418,743;497,446;2863,97;3249,04;2638,282;2088,141;550,141;610,758;-24,76;-58,727;-4,638;-54,089;33,967;-360,31;1072,159;-13,004;1085,163;-1432,483
2013-01-01;3027,788;394,576;1429,314;839,301;590,013;-1034,738;2633,212;2133,956;1707,453;426,504;499,255;2964,513;3345,704;2746,42;2155,513;590,907;599,285;7,134;-0,055;-8,83;8,775;7,189;-388,325;753,63;336,795;416,835;-1141,956
2013-04-01;3123,131;458,778;1235,522;584,71;650,812;-776,744;2664,353;2161,382;1726,893;434,489;502,971;3003,046;3379,772;2780,242;2172,393;607,849;599,53;7,92;5,982;-3,99;9,973;1,938;-384,647;490,594;23,115;467,479;-875,241
2013-07-01;3137,499;442,726;1424,931;772,764;652,167;-982,206;2694,774;2188,238;1745,431;442,807;506,536;3144,349;3496,813;2892,354;2269,986;622,369;604,458;6,277;9,778;-1,977;11,755;-3,501;-358,741;717,887;257,036;460,851;-1076,628
2013-10-01;3186,622;452,547;1258,647;688,853;569,795;-806,1;2734,074;2222,795;1770,194;452,602;511,279;3243,98;3538,345;2934,291;2309,497;624,794;604,054;6,543;10,028;-2,598;12,625;-3,485;-300,909;594,482;209,505;384,977;-895,391
2014-01-01;3258,407;483,68;1297,024;629,158;667,866;-813,344;2774,727;2259,701;1796,547;463,154;515,026;3142,794;3514,433;2922,765;2293,46;629,305;591,669;9,773;4,167;-6,942;11,109;5,606;-381,413;514,18;23,574;490,605;-895,593
2014-04-01;3454,0;652,204;1456,163;741,058;715,105;-803,958;2801,795;2284,761;1817,888;466,873;517,035;3319,767;3665,036;3059,096;2410,56;648,536;605,94;5,549;3,728;-6,094;9,821;1,821;-350,818;543,867;20,246;523,62;-894,685
2014-07-01;3521,057;683,028;1542,563;827,618;714,945;-859,535;2838,028;2318,146;1843,112;475,033;519,883;3396,377;3752,397;3142,047;2475,376;666,671;610,35;5,246;9,925;40,91;-30,985;-4,678;-361,266;584,057;29,765;554,292;-945,323
2014-10-01;3551,148;686,957;1536,417;786,35;750,067;-849,46;2864,191;2342,792;1864,053;478,739;521,398;3361,913;3789,379;3172,016;2484,429;687,586;617,364;6,945;1,055;-8,256;9,311;5,89;-434,411;516,904;-15,004;531,908;-951,316
2015-01-01;3626,362;735,156;1539,23;710,917;828,313;-804,075;2891,206;2368,143;1884,562;483,581;523,063;3476,934;3895,871;3282,283;2579,229;703,054;613,588;12,408;7,001;-3,583;10,584;5,407;-431,345;468,671;-129,585;598,256;-900,007
2015-04-01;3619,706;706,844;1484,435;703,076;781,359;-777,59;2912,862;2388,297;1900,375;487,922;524,566;3518,422;3923,795;3291,104;2566,079;725,024;632,692;5,461;126,766;115,803;10,963;-121,305;-410,834;353,579;-179,714;533,293;-764,411
2015-07-01;3546,284;609,459;1424,048;658,003;766,046;-814,589;2936,825;2410,596;1916,034;494,561;526,229;3487,134;3941,318;3303,66;2555,455;748,205;637,658;9,148;6,561;-4,405;10,966;2,587;-463,331;465,276;-36,161;501,436;-928,606
2015-10-01;3558,906;608,046;1307,792;521,219;786,573;-699,746;2950,86;2424,423;1924,233;500,19;526,437;3496,86;3910,666;3276,879;2515,88;760,999;633,787;6,38;8,504;-2,892;11,396;-2,124;-420,186;384,789;-129,578;514,367;-804,971
2016-01-01;3531,153;569,721;1453,358;645,237;808,121;-883,637;2961,432;2434,792;1929,824;504,968;526,64;3465,019;3893,162;3244,317;2457,919;786,398;648,845;9,348;7,631;-2,762;10,392;1,717;-437,491;570,072;53,774;516,298;-1007,559
2016-04-01;3414,534;419,615;1335,569;609,06;726,508;-915,954;2994,919;2463,558;1950,174;513,384;531,361;3495,818;3893,025;3246,381;2449,406;796,976;646,644;4,731;40,104;36,88;3,224;-35,372;-401,938;593,931;154,238;439,693;-995,864
2016-07-01;3423,903;403,658;1322,957;609,667;713,29;-919,299;3020,245;2486,328;1964,404;521,924;533,917;3515,654;3908,461;3261,571;2455,819;805,753;646,89;5,82;8,655;-1,395;10,05;-2,835;-398,627;630,817;211,406;419,411;-1029,436
2016-10-01;3525,23;469,391;1388,346;651,477;736,869;-918,955;3055,839;2517,644;1987,671;529,973;538,195;3629,945;4017,2;3360,952;2535,979;824,973;656,249;8,171;3,601;14,067;-10,467;4,571;-395,427;646,161;193,826;452,336;-1041,579
2017-01-01;3624,067;534,658;1483,498;694,527;788,971;-948,84;3089,409;2547,047;2011,198;535,849;542,362;3667,136;4026,292;3363,101;2516,681;846,42;663,191;8,873;6,06;24,014;-17,954;2,813;-368,029;704,453;208,098;496,355;-1072,482
2017-04-01;3646,758;517,784;1504,415;632,333;872,081;-986,631;3128,974;2581,985;2037,221;544,764;546,989;3679,471;4107,688;3432,968;2586,782;846,186;674,72;8,412;6,945;-3,07;10,015;1,467;-436,629;679,2;118,555;560,645;-1115,829
2017-07-01;3742,524;572,065;1542,868;659,848;883,02;-970,803;3170,459;2618,064;2064,522;553,541;552,396;3833,491;4183,177;3500,142;2645,428;854,713;683,035;39,537;10,729;122,091;-111,361;28,807;-389,222;741,028;47,819;693,209;-1130,25
2017-10-01;3799,426;592,455;1532,737;710,224;822,514;-940,282;3206,97;2649,166;2088,905;560,261;557,804;3904,284;4279,208;3574,446;2694,701;879,745;704,762;7,22;939,654;929,841;9,813;-932,434;-382,144;-227,338;-720,556;493,217;-154,806
2018-01-01;3842,754;593,281;1643,522;763,324;880,197;-1050,241;3249,473;2684,573;2111,138;573,435;564,9;3966,35;4358,211;3645,635;2749,611;896,024;712,577;5,788;5,624;-3,55;9,174;0,164;-397,65;800,432;251,998;548,434;-1198,082
2018-04-01;3906,922;611,731;1721,875;781,922;939,953;-1110,144;3295,191;2722,285;2138,662;583,623;572,906;4017,634;4394,294;3662,727;2745,296;917,431;731,567;12,155;5,366;-3,091;8,457;6,789;-388,815;886,779;289,091;597,688;-1275,594
2018-07-01;4006,817;672,379;1764,205;735,697;1028,508;-1091,826;3334,438;2755,788;2164,554;591,235;578,65;4044,711;4529,256;3788,692;2872,378;916,314;740,565;2,224;2,039;7,688;-5,649;0,184;-486,769;767,156;58,079;709,078;-1253,925
2018-10-01;4046,796;675,485;1848,272;710,308;1137,964;-1172,787;3371,311;2786,558;2188,953;597,605;584,753;4028,348;4539,916;3802,028;2892,644;909,384;737,888;-1,463;-4,032;25,556;-29,588;2,569;-510,104;818,387;-37,385;855,772;-1328,491
2019-01-01;4241,372;821,892;2052,391;742,607;1309,784;-1230,498;3419,479;2828,654;2224,666;603,988;590,825;4145,211;4615,534;3850,171;2932,959;917,212;765,363;11,377;4,432;1,492;2,94;6,945;-481,7;930,281;-63,339;993,619;-1411,981
2019-04-01;4159,114;693,557;1902,696;724,029;1178,667;-1209,139;3465,557;2869,239;2258,595;610,644;596,318;4189,764;4664,953;3894,868;2963,782;931,086;770,085;3,887;-2,404;-3,093;0,689;6,29;-479,076;910,121;52,584;857,536;-1389,196
2019-07-01;4143,229;640,052;1932,171;795,248;1136,924;-1292,12;3503,177;2902,32;2283,527;618,793;600,857;4276,079;4720,705;3939,338;2995,302;944,036;781,367;4,049;-2,484;-2,893;0,409;6,532;-448,675;1030,487;219,216;811,272;-1479,162
2019-10-01;4162,308;631,159;1900,545;762,404;1138,14;-1269,386;3531,149;2926,979;2301,496;625,483;604,17;4264,746;4668,291;3885,228;2935,256;949,972;783,063;8,231;-48,931;-48,621;-0,31;57,161;-411,776;1093,666;279,704;813,962;-1505,441
2020-01-01;4281,386;711,269;2038,094;533,725;1504,369;-1326,825;3570,117;2961,269;2328,863;632,406;608,848;4218,235;4612,208;3807,759;2824,274;983,485;804,449;12,065;-2,206;-3,253;1,047;14,271;-406,038;1130,659;-21,583;1152,243;-1536,697
2020-04-01;3443,574;-159,575;4755,221;331,563;4423,657;-4914,796;3603,15;2989,828;2351,249;638,579;613,322;3557,361;4068,334;3254,272;2345,311;908,96;814,062;4,404;-1,377;54,114;-55,491;5,781;-515,377;4605,94;397,173;4208,767;-5121,318
2020-07-01;3693,077;52,736;3561,669;907,283;2654,386;-3508,933;3640,341;3019,682;2367,099;652,583;620,659;4058,568;4707,533;3891,227;2868,247;1022,98;816,307;2,835;9,129;6,045;3,084;-6,294;-651,8;3046,486;765,582;2280,905;-3698,286
2020-10-01;4329,523;640,938;2675,589;543,707;2131,883;-2034,652;3688,585;3060,039;2393,61;666,428;628,547;4146,237;4871,213;4040,153;2936,721;1103,432;831,06;5,046;1,876;-3,748;5,624;3,17;-730,021;1510,314;-178,942;1689,256;-2240,335
2021-01-01;4198,054;461,697;4631,879;742,182;3889,697;-4170,182;3736,358;3097,923;2412,461;685,461;638,435;4125,776;4854,883;4031,066;2869,875;1161,191;823,817;14,073;-200,089;14,895;-214,984;214,162;-743,18;3826,546;197,595;3628,951;-4569,726
2021-04-01;4001,943;182,94;2695,306;806,688;1888,618;-2512,366;3819,003;3166,77;2456,894;709,877;652,233;4015,113;4836,365;4013,283;2843,216;1170,067;823,081;3,97;6,846;-3,775;10,62;-2,875;-825,222;1855,119;437,311;1417,807;-2680,34
2021-07-01;4136,97;220,334;2226,834;674,709;1552,125;-2006,5;3916,635;3251,88;2516,835;735,044;664,756;4133,152;5049,992;4226,608;3033,143;1193,464;823,385;-11,531;7,253;46,61;-39,357;-18,784;-905,309;1241,037;107,974;1133,062;-2146,346
2021-10-01;4465,824;444,454;1741,628;589,988;1151,639;-1297,173;4021,37;3340,795;2583,278;757,517;680,575;4506,829;5430,898;4594,048;3349,1;1244,948;836,85;8,113;10,56;-3,853;14,413;-2,447;-932,181;518,82;-130,976;649,796;-1451,001
2022-01-01;4612,708;471,845;1268,804;565,055;703,749;-796,959;4140,864;3442,912;2652,707;790,205;697,952;4499,819;5614,955;4766,754;3464,985;1301,769;848,201;8,635;336,8;320,676;16,123;-328,165;-1123,771;-504,728;-680,79;176,062;-619,043
2022-04-01;4737,994;477,776;1344,319;791,905;552,414;-866,543;4260,218;3542,783;2727,661;815,122;717,436;4586,489;5597,576;4739,049;3459,347;1279,702;858,527;14,089;134,314;117,671;16,643;-120,224;-1025,176;-137,766;-208,957;71,19;-887,41
2022-07-01;4827,42;459,237;1511,57;898,956;612,615;-1052,333;4368,183;3636,373;2800,709;835,664;731,81;4672,393;5606,965;4724,621;3496,352;1228,269;882,344;-16,181;30,813;120,903;-90,09;-46,994;-918,39;237,483;-72,617;310,1;-1155,873
2022-10-01;4621,374;191,092;1482,666;860,237;622,428;-1291,573;4430,282;3688,197;2845,132;843,065;742,085;4831,62;5714,126;4796,162;3622,749;1173,413;917,964;14,559;59,192;53,404;5,788;-44,633;-897,065;525,755;239,462;286,293;-1422,82
2023-01-01;4466,909;-40,498;1696,593;748,392;948,202;-1737,091;4507,407;3753,312;2910,168;843,144;754,095;4795,085;5667,645;4725,828;3553,661;1172,168;941,817;24,104;8,116;-4,2;12,317;15,988;-896,665;1044,136;437,275;606,861;-1940,801
2023-04-01;4480,164;-76,854;1773,573;746,022;1027,551;-1850,427;4557,018;3797,329;2949,017;848,311;759,689;4917,443;5754,639;4780,29;3609,504;1170,786;974,35;11,496;-15,072;-4,414;-10,658;26,568;-848,692;1242,963;527,229;715,735;-2091,656
2023-07-01;4458,347;-153,117;1724,222;860,333;863,889;-1877,339;4611,463;3844,526;2982,513;862,013;766,937;5098,825;5919,708;4915,033;3723,859;1191,174;1004,674;9,008;-439,867;-0,622;-439,245;448,875;-829,891;1734,06;760,087;973,973;-2563,951
2023-10-01;4576,379;-90,88;1701,483;941,731;759,752;-1792,363;4667,259;3893,034;3023,935;869,099;774,225;5209,339;6003,604;4954,426;3749,765;1204,661;1049,178;10,334;-47,709;-4,454;-43,255;58,042;-804,599;1320,759;853,314;467,445;-2125,358
2024-01-01;4586,652;-125,185;1657,512;860,904;796,608;-1782,697;4711,837;3929,359;3057,442;871,917;782,479;5207,479;6064,706;5004,419;3753,929;1250,49;1060,287;;;;;51,635;;;;;-2112,14
