date;Total Consumer Credit Owned and Securitized;Percent Change of Total Consumer Credit;Finance Rate on Personal Loans at Commercial Banks, 24 Month Loan;Finance Rate on Consumer Installment Loans at Commercial Banks, New Autos 60 Month Loan;Commercial Bank Interest Rate on Credit Card Plans, All Accounts
1970-01-01;127,80299;6,1;;;
1970-02-01;128,19115;3,64;;;
1970-03-01;128,28;0,83;;;
1970-04-01;128,37472;0,89;;;
1970-05-01;128,53404;1,49;;;
1970-06-01;129,18543;6,08;;;
1970-07-01;129,85691;6,24;;;
1970-08-01;130,1846;3,03;;;
1970-09-01;130,85083;6,14;;;
1970-10-01;131,11307;2,4;;;
1970-11-01;130,80743;-2,8;;;
1970-12-01;131,55155;6,83;;;
1971-01-01;134,16406;23,83;;;
1971-02-01;134,93292;6,88;;;
1971-03-01;135,73629;7,14;;;
1971-04-01;136,99253;11,11;;;
1971-05-01;137,84093;7,43;;;
1971-06-01;138,76893;8,08;;;
1971-07-01;139,90802;9,85;;;
1971-08-01;141,25209;11,53;;;
1971-09-01;142,76657;12,87;;;
1971-10-01;143,92676;9,75;;;
1971-11-01;145,63484;14,24;;;
1971-12-01;146,93018;10,67;;;
1972-01-01;147,66048;5,96;;;
1972-02-01;148,92454;10,27;12,5;;
1972-03-01;150,77106;14,88;;;
1972-04-01;152,32195;12,34;;;
1972-05-01;154,19949;14,79;12,44;;
1972-06-01;156,15301;15,2;;;
1972-07-01;157,27992;8,66;;;
1972-08-01;158,93936;12,66;12,47;;
1972-09-01;160,55329;12,19;;;
1972-10-01;162,22503;12,49;;;
1972-11-01;164,10159;13,88;12,44;;
1972-12-01;166,1891;15,26;;;
1973-01-01;169,29467;18,18;;;
1973-02-01;171,60183;12,19;12,51;;
1973-03-01;173,90894;12,02;;;
1973-04-01;175,76268;12,79;;;
1973-05-01;178,12795;16,15;12,48;;
1973-06-01;180,42927;15,5;;;
1973-07-01;182,3182;12,56;;;
1973-08-01;184,32651;13,22;12,66;;
1973-09-01;185,34551;6,63;;;
1973-10-01;187,47609;13,79;;;
1973-11-01;189,3088;11,73;12,75;;
1973-12-01;190,08631;4,93;;;
1974-01-01;191,31247;7,74;;;
1974-02-01;192,51536;7,55;12,82;;
1974-03-01;193,35799;5,25;;;
1974-04-01;194,60355;7,73;;;
1974-05-01;195,8699;7,81;12,88;;
1974-06-01;196,8878;6,24;;;
1974-07-01;198,29354;8,57;;;
1974-08-01;199,3168;6,19;13,11;;
1974-09-01;199,61712;1,81;;;
1974-10-01;199,53477;-0,5;;;
1974-11-01;199,25468;-1,68;13,16;;
1974-12-01;198,91784;-2,03;;;
1975-01-01;199,0636;0,88;;;
1975-02-01;199,50775;2,68;13,2;;
1975-03-01;199,10994;-2,39;;;
1975-04-01;198,74286;-2,21;;;
1975-05-01;198,73721;-0,03;13,11;;
1975-06-01;196,04336;0,04;;;
1975-07-01;197,57936;9,4;;;
1975-08-01;198,21159;3,84;13,05;;
1975-09-01;199,42896;7,37;;;
1975-10-01;200,43428;6,05;;;
1975-11-01;201,49288;6,34;12,96;;
1975-12-01;204,002;14,94;;;
1976-01-01;205,52079;8,93;;;
1976-02-01;206,70929;6,94;13,02;;
1976-03-01;208,33857;9,46;;;
1976-04-01;210,50006;12,45;;;
1976-05-01;211,40742;5,17;12,96;;
1976-06-01;213,2401;10,4;;;
1976-07-01;215,2727;11,44;;;
1976-08-01;216,50986;6,9;13,02;;
1976-09-01;218,70878;12,19;;;
1976-10-01;220,8671;11,84;;;
1976-11-01;222,80491;10,53;13,06;;
1976-12-01;225,72159;15,71;;;
1977-01-01;225,73315;-0,69;;;
1977-02-01;228,52821;14,86;12,95;;
1977-03-01;232,34827;20,06;;;
1977-04-01;235,59405;16,76;;;
1977-05-01;239,01809;17,44;13,0;;
1977-06-01;242,40858;17,02;;;
1977-07-01;245,48106;15,21;;;
1977-08-01;248,47453;14,63;12,87;;
1977-09-01;251,2618;13,46;;;
1977-10-01;255,41564;19,84;;;
1977-11-01;258,77291;15,77;13,06;;
1977-12-01;260,5627;8,3;;;
1978-01-01;262,76532;10,14;;;
1978-02-01;265,73802;13,58;12,94;;
1978-03-01;270,26281;20,43;;;
1978-04-01;274,13698;17,2;;;
1978-05-01;279,25657;22,41;13,11;;
1978-06-01;285,10077;25,11;;;
1978-07-01;288,80554;15,59;;;
1978-08-01;292,81311;16,65;13,3;;
1978-09-01;296,17942;13,8;;;
1978-10-01;298,81249;10,67;;;
1978-11-01;302,7302;15,73;13,42;;
1978-12-01;306,10039;13,36;;;
1979-01-01;309,90309;14,91;;;
1979-02-01;313,52378;14,02;13,59;;
1979-03-01;317,20074;14,07;;;
1979-04-01;320,94487;14,16;;;
1979-05-01;325,17739;15,83;13,65;;
1979-06-01;328,17274;11,05;;;
1979-07-01;331,98999;13,96;;;
1979-08-01;335,78546;13,72;13,76;;
1979-09-01;339,44975;13,1;;;
1979-10-01;343,2513;13,44;;;
1979-11-01;346,38941;10,97;14,39;;
1979-12-01;348,58911;7,62;;;
1980-01-01;350,4757;6,49;;;
1980-02-01;353,05623;8,84;14,69;;
1980-03-01;353,04211;-0,05;;;
1980-04-01;351,28721;-5,96;;;
1980-05-01;348,64454;-9,03;16,31;;
1980-06-01;346,69696;-6,7;;;
1980-07-01;347,07137;1,3;;;
1980-08-01;347,54601;1,64;15,33;;
1980-09-01;348,16314;2,13;;;
1980-10-01;349,59772;4,94;;;
1980-11-01;350,00449;1,4;15,54;;
1980-12-01;351,92005;6,57;;;
1981-01-01;353,02932;3,78;;;
1981-02-01;354,74499;5,83;17,14;;
1981-03-01;357,12713;8,06;;;
1981-04-01;359,13287;6,74;;;
1981-05-01;361,2328;7,02;17,48;;
1981-06-01;362,74346;5,02;;;
1981-07-01;364,67773;6,4;;;
1981-08-01;365,15446;1,57;18,52;;
1981-09-01;369,59574;14,6;;;
1981-10-01;370,45671;2,8;;;
1981-11-01;371,75991;4,22;19,21;;
1981-12-01;371,30144;-1,48;;;
1982-01-01;375,16736;12,49;;;
1982-02-01;376,37707;3,87;18,76;;
1982-03-01;376,88541;1,62;;;
1982-04-01;378,63428;5,57;;;
1982-05-01;380,4388;5,72;18,9;;
1982-06-01;381,98562;4,88;;;
1982-07-01;382,4471;1,45;;;
1982-08-01;382,86264;1,3;18,93;;
1982-09-01;384,35525;4,68;;;
1982-10-01;384,96719;1,91;;;
1982-11-01;386,76665;5,61;17,99;;
1982-12-01;389,84874;9,56;;;
1983-01-01;391,82773;6,09;;;
1983-02-01;392,36096;1,63;17,47;;
1983-03-01;395,58305;9,85;;;
1983-04-01;398,42671;8,63;;;
1983-05-01;399,95372;4,6;16,57;;
1983-06-01;404,8326;14,64;;;
1983-07-01;409,47521;13,76;;;
1983-08-01;413,99357;13,24;16,28;;
1983-09-01;417,82094;11,09;;;
1983-10-01;423,773;17,09;;;
1983-11-01;429,97738;17,57;16,39;;
1983-12-01;437,06886;19,79;;;
1984-01-01;441,99113;13,51;;;
1984-02-01;451,90703;26,92;16,16;;
1984-03-01;456,55016;12,33;;;
1984-04-01;462,14122;14,7;;;
1984-05-01;472,44428;26,75;16,35;;
1984-06-01;480,99454;21,72;;;
1984-07-01;487,1488;15,35;;;
1984-08-01;494,11763;17,17;16,75;;
1984-09-01;498,4964;10,63;;;
1984-10-01;504,65866;14,83;;;
1984-11-01;510,15408;13,07;16,63;;
1984-12-01;517,27898;16,76;;;
1985-01-01;523,97936;15,54;;;
1985-02-01;532,44843;19,4;16,21;;
1985-03-01;541,75718;20,98;;;
1985-04-01;549,34871;16,82;;;
1985-05-01;555,84205;14,18;16,09;;
1985-06-01;561,2066;11,58;;;
1985-07-01;567,653;13,78;;;
1985-08-01;573,29931;11,94;15,84;;
1985-09-01;582,14837;18,52;;;
1985-10-01;588,30745;12,7;;;
1985-11-01;594,47775;12,59;15,61;;
1985-12-01;599,71123;10,56;;;
1986-01-01;605,70302;11,99;;;
1986-02-01;610,67829;9,86;15,52;;
1986-03-01;613,37662;5,3;;;
1986-04-01;619,65773;12,29;;;
1986-05-01;625,81996;11,93;14,89;;
1986-06-01;630,05583;8,12;;;
1986-07-01;635,15095;9,7;;;
1986-08-01;638,90439;7,09;14,7;;
1986-09-01;646,02316;13,37;;;
1986-10-01;653,78729;14,42;;;
1986-11-01;653,7673;-0,04;14,19;;
1986-12-01;654,75024;1,8;;;
1987-01-01;653,26748;-2,72;;;
1987-02-01;652,5323;-1,35;14,1;;
1987-03-01;651,19767;-2,45;;;
1987-04-01;656,40142;9,59;;;
1987-05-01;658,47003;3,78;14,0;;
1987-06-01;662,8975;8,07;;;
1987-07-01;667,65979;8,62;;;
1987-08-01;672,22514;8,21;14,22;;
1987-09-01;676,21116;7,12;;;
1987-10-01;681,18446;8,83;;;
1987-11-01;684,71004;6,21;14,58;;
1987-12-01;686,31877;2,82;;;
1988-01-01;692,27095;10,41;;;
1988-02-01;696,38729;7,14;14,46;;
1988-03-01;700,7012;7,43;;;
1988-04-01;705,86805;8,85;;;
1988-05-01;710,04585;7,1;14,4;;
1988-06-01;713,18919;5,31;;;
1988-07-01;716,11302;4,92;;;
1988-08-01;721,53558;9,09;14,81;;
1988-09-01;722,94769;2,35;;;
1988-10-01;726,10533;5,24;;;
1988-11-01;729,66007;5,87;15,06;;
1988-12-01;731,91776;3,71;;;
1989-01-01;749,02308;0,01;;;
1989-02-01;752,893;6,2;15,22;;
1989-03-01;760,01834;11,36;;;
1989-04-01;764,71245;7,41;;;
1989-05-01;769,2757;7,16;15,65;;
1989-06-01;773,22711;6,16;;;
1989-07-01;776,26008;4,71;;;
1989-08-01;778,8765;4,04;15,45;;
1989-09-01;781,82209;4,54;;;
1989-10-01;785,54565;5,72;;;
1989-11-01;790,29725;7,26;15,42;;
1989-12-01;794,61218;6,55;;;
1990-01-01;797,71486;4,69;;;
1990-02-01;798,77319;1,59;15,27;;
1990-03-01;798,74809;-0,04;;;
1990-04-01;798,74701;0,0;;;
1990-05-01;799,75103;1,51;15,41;;
1990-06-01;802,89274;4,71;;;
1990-07-01;806,8875;5,97;;;
1990-08-01;808,75857;2,78;15,46;;
1990-09-01;810,43623;2,49;;;
1990-10-01;812,65511;3,29;;;
1990-11-01;813,66266;1,49;15,69;;
1990-12-01;808,23057;-8,01;;;
1991-01-01;806,6005;-2,42;;;
1991-02-01;807,03043;0,64;15,42;;
1991-03-01;808,35183;1,96;;;
1991-04-01;807,81895;-0,79;;;
1991-05-01;807,83216;0,02;15,16;;
1991-06-01;805,99466;-2,73;;;
1991-07-01;804,02756;-2,93;;;
1991-08-01;802,02192;-2,99;15,24;;
1991-09-01;800,88934;-1,69;;;
1991-10-01;798,61698;-3,4;;;
1991-11-01;798,27498;-0,51;14,88;;
1991-12-01;798,02897;-0,37;;;
1992-01-01;798,98271;1,43;;;
1992-02-01;799,64038;0,99;14,39;;
1992-03-01;799,44211;-0,3;;;
1992-04-01;797,65814;-2,68;;;
1992-05-01;797,6679;0,01;14,28;;
1992-06-01;797,27631;-0,59;;;
1992-07-01;798,06816;1,19;;;
1992-08-01;799,8238;2,64;13,94;;
1992-09-01;800,1989;0,56;;;
1992-10-01;799,55599;-0,96;;;
1992-11-01;802,69798;4,72;13,55;;
1992-12-01;806,11869;5,11;;;
1993-01-01;809,32543;4,77;;;
1993-02-01;814,05892;7,02;13,57;;
1993-03-01;813,65629;-0,59;;;
1993-04-01;819,75694;9,0;;;
1993-05-01;819,75905;0,0;13,63;;
1993-06-01;823,81181;5,93;;;
1993-07-01;829,51873;8,31;;;
1993-08-01;834,23553;6,82;13,45;;
1993-09-01;840,60298;9,16;;;
1993-10-01;847,61663;10,01;;;
1993-11-01;856,52342;12,61;13,22;;
1993-12-01;865,65058;12,79;;;
1994-01-01;872,02182;8,83;;;
1994-02-01;880,35286;11,46;12,89;;
1994-03-01;891,33316;14,97;;;
1994-04-01;900,98953;13,0;;;
1994-05-01;912,8637;15,81;12,96;;
1994-06-01;924,21602;14,92;;;
1994-07-01;931,13474;8,98;;;
1994-08-01;944,80317;17,62;13,33;;
1994-09-01;957,3756;15,97;;;
1994-10-01;968,46871;13,9;;;
1994-11-01;981,42611;16,06;13,59;;15,69
1994-12-01;997,30174;19,41;;;
1995-01-01;1010,39504;15,75;;;
1995-02-01;1018,55911;9,7;14,1;;16,1
1995-03-01;1033,63209;17,76;;;
1995-04-01;1043,69517;11,68;;;
1995-05-01;1057,47083;15,84;14,03;;16,14
1995-06-01;1069,37791;13,51;;;
1995-07-01;1077,737;9,38;;;
1995-08-01;1089,60205;13,21;13,84;;15,92
1995-09-01;1106,61268;18,73;;;
1995-10-01;1113,52851;7,5;;;
1995-11-01;1132,16017;20,08;13,8;;15,81
1995-12-01;1140,74436;9,1;;;
1996-01-01;1153,2703;13,18;;;
1996-02-01;1163,09378;10,22;13,63;;15,8
1996-03-01;1171,68426;8,86;;;
1996-04-01;1180,9031;9,44;;;
1996-05-01;1191,11369;10,38;13,52;;15,44
1996-06-01;1200,95002;9,91;;;
1996-07-01;1211,89736;10,94;;;
1996-08-01;1220,503;8,52;13,37;;15,66
1996-09-01;1225,27176;4,69;;;
1996-10-01;1231,3361;5,94;;;
1996-11-01;1242,42191;10,8;13,62;;15,62
1996-12-01;1253,43709;10,64;;;
1997-01-01;1258,36528;4,72;;;
1997-02-01;1261,85081;3,32;13,46;;15,88
1997-03-01;1264,14634;2,18;;;
1997-04-01;1274,08738;9,44;;;
1997-05-01;1278,67842;4,32;13,81;;15,74
1997-06-01;1282,85852;3,92;;;
1997-07-01;1288,78203;5,54;;;
1997-08-01;1294,21924;5,06;13,84;;15,8
1997-09-01;1301,63497;6,88;;;
1997-10-01;1309,38939;7,15;;;
1997-11-01;1312,45718;2,81;14,5;;15,76
1997-12-01;1324,75733;11,25;;;
